2026-02-05T21:52:35.369250+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00008.bin
2026-02-05T21:53:51.324567+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00009.bin
2026-02-05T21:59:38.514311+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00003.bin
2026-02-05T22:04:47.570201+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00000.bin
2026-02-05T22:06:15.654944+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00006.bin
2026-02-05T22:11:24.675600+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00005.bin
2026-02-05T22:14:13.028295+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00007.bin
2026-02-05T22:17:01.415668+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00001.bin
2026-02-05T22:20:13.392150+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00004.bin
2026-02-05T22:23:25.378105+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00002.bin
2026-02-05T22:29:12.619793+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00008.bin
2026-02-05T22:30:40.745559+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00009.bin
2026-02-05T22:36:28.018107+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00003.bin
2026-02-05T22:39:16.395854+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00000.bin
2026-02-05T22:42:04.828740+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00006.bin
2026-02-05T22:44:53.212442+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00005.bin
2026-02-05T22:46:09.215021+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00007.bin
2026-02-05T22:51:56.486821+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshaped/AYL-00001.bin
2026-02-05T22:53:24.645667+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00004.bin
2026-02-05T22:56:36.580873+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00002.bin
2026-02-05T22:58:04.699608+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00008.bin
2026-02-05T22:59:32.794557+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00009.bin
2026-02-05T23:02:21.150594+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00003.bin
2026-02-05T23:03:37.107973+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00000.bin
2026-02-05T23:06:25.438999+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00006.bin
2026-02-05T23:09:37.376679+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00005.bin
2026-02-05T23:12:49.307307+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00007.bin
2026-02-05T23:17:58.278762+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/splayed/AYL-00001.bin
